Facility,Location,Date,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,Total Count,Status
Marino Recreation Center,Marino Center - Studio B,1/23/23 0:00,0,2,4,6,7,,5,11,3,3,3,3,6,7,6,3,7,7,,82,Active
Marino Recreation Center,Marino Center - Gymnasium,1/23/23 0:00,0,9,17,18,22,23,12,16,12,10,16,21,23,24,37,31,45,53,,385,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/23/23 0:00,14,25,24,41,31,36,40,35,40,40,59,53,48,55,67,62,49,,,718,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/23/23 0:00,21,32,47,50,43,46,50,47,54,59,65,48,68,58,88,74,60,,,907,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/23/23 0:00,8,21,43,29,28,29,37,37,39,47,45,51,53,54,55,48,34,24,,683,Active
Marino Recreation Center,Marino Center - Track,1/24/23 0:00,0,3,5,4,5,4,5,14,9,6,7,3,6,4,8,16,17,10,,125,Active
Marino Recreation Center,Marino Center - Studio A,1/24/23 0:00,0,2,3,,4,5,5,8,7,7,4,8,15,12,9,7,8,10,,111,Active
Marino Recreation Center,Marino Center - Studio B,1/24/23 0:00,0,1,1,4,5,7,5,9,6,4,4,6,6,8,14,4,5,7,,94,Active
Marino Recreation Center,Marino Center - Gymnasium,1/24/23 0:00,0,16,23,23,24,26,12,14,22,26,35,46,79,60,35,31,35,37,,541,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/24/23 0:00,0,27,26,39,35,47,77,86,74,59,47,45,43,37,45,60,51,41,,836,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/24/23 0:00,0,42,35,41,34,52,58,65,58,49,58,64,60,54,55,55,63,50,,892,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/24/23 0:00,3,17,40,24,25,26,34,30,38,38,48,62,67,68,43,35,36,38,,672,Active
Marino Recreation Center,Marino Center - Track,1/25/23 0:00,0,2,5,3,5,4,5,8,5,4,6,7,10,9,,14,9,8,5,107,Active
Marino Recreation Center,Marino Center - Studio A,1/25/23 0:00,1,3,5,6,4,3,4,5,4,5,4,8,9,11,20,4,16,14,6,130,Active
Marino Recreation Center,Marino Center - Studio B,1/25/23 0:00,1,3,1,4,3,3,3,4,3,6,4,23,24,20,13,6,10,8,6,142,Active
Marino Recreation Center,Marino Center - Gymnasium,1/25/23 0:00,1,3,8,9,4,11,13,17,18,30,45,62,65,67,79,73,59,56,42,660,Active
